Country,Country_Subdivision_Primary,State,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
US,US,FL,FL-12,520800,462550,37203250,904625,3436000,11841000,3452500,151357500,1985800,2181525,4852500,403650
US,US,FL,FL-13,495700,440450,35378750,861500,3272000,11270000,3288000,144307500,1890500,2078475,4624500,384300
US,US,FL,FL-14,946700,837350,67752000,1637725,6219700,21468000,6249500,273427500,3597800,3938850,8763750,732950
US,US,FL,FL-15,471600,418150,33747750,817850,3106500,10711000,3121000,136770000,1795700,1969875,4382250,365350
US,US,FL,FL-16,605700,537500,43302750,1051275,3993100,13762000,4012500,175920000,2307800,2533425,5636250,469500
US,US,FL,FL-17,484400,429000,34450250,839075,3186600,10987000,3202000,140295000,1841700,2020275,4499250,375400
US,US,FL,FL-18,642800,569150,46191500,1113125,4228300,14592000,4248000,185962500,2445000,2678100,5954250,497400
US,US,FL,FL-19,701700,624050,50148500,1220475,4636700,15959000,4658500,204615000,2677800,2945475,6547500,543300
US,US,FL,FL-2,362600,321950,25903000,629725,2391900,8241000,2403500,105457500,1382400,1518300,3380250,281150
US,US,FL,FL-20,339300,300300,24342750,587325,2230900,7696000,2241500,98137500,1289800,1413225,3142500,262500
US,US,FL,FL-21,511000,454000,36547500,887900,3372800,11615000,3389000,148770000,1948400,2141550,4762500,395800
US,US,FL,FL-22,598700,532250,42808500,1041025,3954400,13616000,3973500,174532500,2284600,2511825,5586000,463900
US,US,FL,FL-23,522700,463700,37429000,906900,3444800,11872000,3461000,151815000,1991000,2185500,4860000,404750
US,US,FL,FL-24,974600,862400,70052750,1686675,6407200,22102000,6436500,281895000,3705600,4056375,9016500,753400
US,US,FL,FL-25,443200,392000,31828750,766675,2912300,10044000,2925500,128130000,1683800,1843800,4101000,342600
US,US,FL,FL-26,677700,594150,48947750,1162100,4412100,15260000,4433500,193515000,2553600,2784975,6198750,521550
US,US,FL,FL-27,1152500,1017650,82869000,1990325,7559600,26109000,7594500,332085000,4374000,4780875,10629750,890900
US,US,FL,FL-3,521300,462950,37304250,905400,3439100,11850000,3455500,151597500,1987700,2182725,4856250,404050
US,US,FL,FL-4,756800,671150,54289750,1312650,4986300,17198000,5009500,219472500,2883100,3161025,7030500,586350
US,US,FL,FL-5,268700,238300,19239750,466100,1770500,6102000,1779000,77992500,1023300,1122825,2498250,208150
US,US,FL,FL-6,808600,712550,57938250,1393625,5292700,18285000,5317500,232342500,3060300,3346200,7457250,625850
